year,State_from,State_to,estimate,MOE
2011,Hawaii,Louisiana,688,808
2011,Hawaii,Maine,177,214
2011,Hawaii,Maryland,1170,815
2011,Hawaii,Massachusetts,733,860
2011,Hawaii,Michigan,630,469
2011,Hawaii,Minnesota,901,634
2011,Hawaii,Mississippi,369,429
2011,Hawaii,Missouri,871,517
2011,Hawaii,Montana,32,35
2011,Hawaii,Nevada,4093,2643
2011,Hawaii,New Hampshire,0,184
2011,Hawaii,New Jersey,264,307
2011,Hawaii,New Mexico,81,128
2011,Hawaii,New York,1002,973
2011,Hawaii,North Carolina,1806,1362
2011,Hawaii,North Dakota,138,216
2011,Hawaii,Ohio,1044,694
2011,Hawaii,Oklahoma,140,148
2011,Hawaii,Oregon,2491,1173
2011,Hawaii,Pennsylvania,495,369
2011,Hawaii,Rhode Island,0,207
2011,Hawaii,South Carolina,712,626
2011,Hawaii,South Dakota,0,155
2011,Hawaii,Tennessee,179,230
2011,Hawaii,Texas,6106,2623
2011,Hawaii,Utah,1701,997
2011,Hawaii,Vermont,143,85
2011,Hawaii,Virginia,2917,1400
2011,Hawaii,Washington,5940,2264
2011,Hawaii,West Virginia,147,248
2011,Hawaii,Wisconsin,1108,1597
2011,Hawaii,Wyoming,0,189
2011,Idaho,Alabama,137,173
2011,Idaho,Alaska,475,253
2011,Idaho,Arizona,2190,1183
2011,Idaho,Arkansas,179,271
2011,Idaho,California,4796,1560
2011,Idaho,Colorado,1578,766
2011,Idaho,Connecticut,133,224
2011,Idaho,Delaware,441,347
2011,Idaho,Florida,312,268
2011,Idaho,Georgia,126,139
2011,Idaho,Hawaii,112,199
2011,Idaho,Illinois,393,356
2011,Idaho,Indiana,1368,1278
2011,Idaho,Iowa,161,175
2011,Idaho,Kansas,264,358
2011,Idaho,Kentucky,36,69
2011,Idaho,Louisiana,230,269
2011,Idaho,Maine,0,157
2011,Idaho,Maryland,389,366
2011,Idaho,Massachusetts,412,695
2011,Idaho,Michigan,882,675
2011,Idaho,Minnesota,402,328
2011,Idaho,Mississippi,55,82
2011,Idaho,Missouri,560,439
2011,Idaho,Montana,1543,1005
2011,Idaho,Nevada,3929,1734
2011,Idaho,New Hampshire,0,184
2011,Idaho,New Jersey,256,262
2011,Idaho,New Mexico,355,326
2011,Idaho,New York,434,377
2011,Idaho,North Carolina,675,615
2011,Idaho,North Dakota,1209,817
2011,Idaho,Ohio,312,223
2011,Idaho,Oklahoma,21,35
2011,Idaho,Oregon,6236,2097
2011,Idaho,Pennsylvania,236,223
2011,Idaho,Rhode Island,107,199
2011,Idaho,South Carolina,55,68
2011,Idaho,South Dakota,186,262
2011,Idaho,Tennessee,0,208
2011,Idaho,Texas,4379,3119
2011,Idaho,Utah,7538,3248
2011,Idaho,Vermont,0,145
2011,Idaho,Virginia,434,430
2011,Idaho,Washington,10895,4263
2011,Idaho,West Virginia,120,127
2011,Idaho,Wisconsin,566,434
2011,Idaho,Wyoming,2140,1161
2011,Illinois,Alabama,6991,3376
2011,Illinois,Alaska,985,686
2011,Illinois,Arizona,10035,4129
2011,Illinois,Arkansas,3684,2143
2011,Illinois,California,20834,3496
2011,Illinois,Colorado,6027,1536
2011,Illinois,Connecticut,1843,965
2011,Illinois,Delaware,34,35
2011,Illinois,Florida,19152,3962
2011,Illinois,Georgia,6080,1774
2011,Illinois,Hawaii,1884,728
2011,Illinois,Idaho,390,342
2011,Illinois,Indiana,23071,4221
2011,Illinois,Iowa,13725,2238
2011,Illinois,Kansas,2760,1019
2011,Illinois,Kentucky,4273,1415
2011,Illinois,Louisiana,1189,417
2011,Illinois,Maine,675,358
2011,Illinois,Maryland,2392,1052
2011,Illinois,Massachusetts,2991,899
